group_id,file_path,file_size,size_formatted,media_type,resolution,duration,perceptual_hash
1,/home/rafael/Videos/2025/2025-03/2025-03-16T13_17_00.mp4,175299880,167.2 MB,video,1920x1080,1m 11s,8000000000000000000000000000000000000000000000000000000000000000
1,/home/rafael/Videos/2025/2025-07/2025-07-10T18_39_27.mp4,16325309,15.6 MB,video,3840x2160,3s,8000000000000000000000000000000000000000000000000000000000000000
2,/home/rafael/Videos/no_exif/2025-08-11T13_44_33.mp4,74711884,71.3 MB,video,1920x1080,35s,d8b35033a60c8618c1ccfeb328f20e978cbcc1e36d3ea0e7df016e9f21e354ec
2,/home/rafael/Videos/2025/2025-08/2025-08-11T13_44_33.mp4,74711884,71.3 MB,video,1920x1080,35s,d8b35033a60c8618c1ccfeb328f20e978cbcc1e36d3ea0e7df016e9f21e354ec
3,/home/rafael/Videos/no_exif/2025-08-11T13_40_15.mp4,134826263,128.6 MB,video,1920x1080,1m 3s,f76e9cc848d9f3af42664e71d395d4848c64b9951d79cc77a72435188563ad60
3,/home/rafael/Videos/2025/2025-08/2025-08-11T13_40_15.mp4,134826263,128.6 MB,video,1920x1080,1m 3s,f76e9cc848d9f3af42664e71d395d4848c64b9951d79cc77a72435188563ad60
4,/home/rafael/Videos/no_exif/2025-08-11T14_00_13.mp4,169563269,161.7 MB,video,1920x1080,1m 19s,fcbf83e049ff7e87336e3c92327d3583e085d07c861b870cdfcc6520e251e00b
4,/home/rafael/Videos/2025/2025-08/2025-08-11T14_00_13.mp4,169563269,161.7 MB,video,1920x1080,1m 19s,fcbf83e049ff7e87336e3c92327d3583e085d07c861b870cdfcc6520e251e00b
5,/home/rafael/Videos/no_exif/2025-08-11T13_53_46.mp4,93015252,88.7 MB,video,1920x1080,43s,fd9f391a3269c6610eb97ebde61d83577f47444c0c9a899a8880338923b1fe74
5,/home/rafael/Videos/2025/2025-08/2025-08-11T13_53_46.mp4,93015252,88.7 MB,video,1920x1080,43s,fd9f391a3269c6610eb97ebde61d83577f47444c0c9a899a8880338923b1fe74
